id,title,description,url,image,focus,zoom,category,tag,date
01,F/A-18c Lot-20,,subcat/f-a-18c-lot-20.html,images/27.jpg,"50,50",100,,,2026-08-13
02,Magazine publications,,subcat/magazine-publications.html,images/IMG_20260628_103110.jpg,"50,50",100,,,2026-08-14
03,Unity projects,,subcat/unity-projects.html,images/unity-projects.jpg,"50,50",100,,,2026-08-14
04,Formula 1,,subcat/formula-1.html,images/IMG_20250423_182435.jpg,"50,50",100,,,2026-08-14
05,Blender projects,,subcat/blender-projects.html,images/blender-projects.jpg,"50,50",100,,,2026-08-14
06,CAd projects,,subcat/cad-projects.html,images/cad-projects.jpg,"50,50",100,,,2026-08-14
07,product development,,subcat/product-development.html,images/IMG_20250907_173013.jpg,"50,50",100,,,2026-08-14
